departamento,Seccion,Familia,SubFamilia,marca,linea,Referencia,CodBarras,descripcion Completa,descripcion 40 caracteres,Usa Lote,Principio Activo,cod_prov,Proveedor
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,GLOBAL MEDIC,,764451895362,,PANTOPRAZOL 40MG I.V X 1 AMP GLOBAL MEDIC,PANTOPRAZOL 40MG I.VX1 AMP GLOBAL MEDIC,T,PANTOPRAZOL,00099,"CASA DE REPRESENTACION GLOBAL MEDIC, C.A"
MEDICAMENTOS,TABLETAS,,,LAND,,7598008000212,,AZITROMICINA 500MG X 3TAB  LAND,AZITROMICINA 500MG X 3 TAB (LAND),T,AZITROMICINA,,"CASA DE REPRESENTACION LAND,C.A"
MEDICAMENTOS,CREMAS,,,LIALI,,21281083285,,BETADEX PLUS X 20G LIALI,BETADEX PLUS X 20G LIALI,T,BETAMETASONA-GENTAMICINA-CLOTRIMAZOL,00104,"GRUPO LIALI, C.A."
MEDICAMENTOS,CREMAS,,,LIALI,,21281083261,,BETAMETASONA (BETADEX) 0.1% X 15 G LIALI,BETADEX 0.1% CREMA 15GR(LIALI),T,BETAMETASONA,00105,"GRUPO LIALI, C.A."
MEDICAMENTOS,TABLETAS,,,BUKA,,21241259231,,ALBENDAZOL 200 MG X 2 TAB BUKA,ALBENDAZOL 200 MG X 2 TAB BUKA,T,ALBENDAZOL,00106,"LABORATORIOS BUKA, C.A."
MEDICAMENTOS,TABLETAS,,,BUKA,,675696260139,,ATORVASTATINA 20MG X 30TAB BUKA,ATORVASTATINA 20MG X 30TAB BUKA,T,ATORVASTATINA,,"LABORATORIOS BUKA, C.A."
MEDICAMENTOS,TABLETAS,,,BUKA,,675696260146,,ATORVASTATINA 40MG X 30TAB BUKA,ATORVASTATINA 40MG X 30TAB BUKA,T,ATORVASTATINA,,"LABORATORIOS BUKA, C.A."
MEDICAMENTOS,TABLETAS,,,BUKA,,675696259997,,CEFADROXILO 500MG X 10TAB BUKA,CEFADROXILO 500MG X 10 TABLETAS (BUKA),T,CEFADROXILO,00110,"LABORATORIOS BUKA, C.A."
MEDICAMENTOS,TABLETAS,,,BUKA,,675696260009,,CETIRIZINA 10MG X 10TAB BUKA,CETIRIZINA 10MG X 10TAB BUKA,T,CETIRIZINA,00111,"LABORATORIOS BUKA, C.A."
MEDICAMENTOS,TABLETAS,,,BUKA,,675696260023,,CLOPIDOGREL 75MG X  30TAB BUKA,CLOPIDOGREL 75MG X  30TAB BUKA,T,CLOPIDOGREL,00112,"LABORATORIOS BUKA, C.A."
MEDICAMENTOS,JARABES,,,BUKA,,675696260054,,LORATADINA SOL. ORAL 5 MG/5ML X 60ML  BUKA,LORATADINA SOL.ORAL 5MG/5ML X 60ML  BUKA,T,LORATADINA,00121,"LABORATORIOS BUKA, C.A."
MEDICAMENTOS,TABLETAS,,,BRIXMEDIC,,8906130230022,,CALCIO CARBONATO 600MG  MASTICABLE X 10TAB BRIXMEDIC,CALCIO CARBONATO 600MG X10TAB(BRIXMEDIC),T,CALCIO CARBONATO,00123,"SAJJA MEDIC, C.A."
MEDICAMENTOS,TABLETAS,,,BUKA,,675696260122,,METFORMINA 500MG X 30TAB  BUKA,CALCIO CARBONATO 600MG X10TAB(BRIXMEDIC),T,METFORMINA,00123,"LABORATORIOS BUKA, C.A."
MEDICAMENTOS,TABLETAS,,,BUKA,,675696260078,,OMEPRAZOL 20MG X 14TAB BUKA,OMEPRAZOL 20MG X 14TAB BUKA,T,OMEPRAZOL,00125,"LABORATORIOS BUKA, C.A."
MEDICAMENTOS,TABLETAS,,,BUKA,,675696260115,,AMLODIPINA 10MG X 30TAB BUKA,AMLODIPINA 10MG X 30TAB BUKA,T,AMLODIPINA,,"LABORATORIOS BUKA, C.A."
MEDICAMENTOS,MMQ,,,GROSSMED,,7597830005440,,GUANTES QUIRURGICOS ESTERIL TALLA 6.5 X UNI GROSSMED,GUANTES QUIRURG ESTERIL 6.5XUNI GROSSMED,T,GUANTES,00135,"FARMATECH MEDICAL, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,VITALIS,,7707236125028,,MEROPENEM 500MG I.V X 1 AMP VITALIS,MEROPENEM 500MG AMP (VITALIS),T,MEROPENEM,,"PHARMASTERIL, C.A (EL MORRO CASA DE REPRESENTACION)"
MEDICAMENTOS,JARABES,,,TEUTO,,7896112147640,,AERODINI SULFATO DE SALBUTAMOL 100MCG X 200DOSIS TEUTO,AERODINI 100MCG INH (TEUTO),T,SALBUTAMOL,,"CASA DE REPRESENTACIONES NAUTICA, C.A"
MEDICAMENTOS,TABLETAS,,,MULTILAB,,7896472513307,,BUPROVIL 600MG X20TAB MULTILAB,BUPROVIL 600MG X20TAB MULTILAB,T,IBUPROFENO,,"CASA DE REPRESENTACIONES RJR, C.A"
MEDICAMENTOS,TABLETAS,,,NOVA QUIMICA,,7895296261012,,CARDBET 12.5MG X 30TAB NOVA QUIMICA,CARDBET 12.5MG X 30TAB NOVA QUIMICA,T,CARVEDILOL,,"CASA DE REPRESENTACIONES NAUTICA, C.A"
MEDICAMENTOS,TABLETAS,,,GLOBA,,7899620915077,,COMPLEXIMED B X 50TAB GLOBO,COMPLEXIMED B X 50TAB GLOBO,T,COMPLEJO B,,"CASA DE REPRESENTACIONES NAUTICA, C.A"
MEDICAMENTOS,TABLETAS,,,DIMEZIN,,7896112136804,,DIMEZIN MAX 125MG X 10TAB,DIMEZIN MAX 125MG X 10TAB,T,SIMETICONA,50202021,"CASA DE REPRESENTACIONES NAUTICA, C.A"
MEDICAMENTOS,TABLETAS,,,ALTEFAR,,7897917005203,,ENALAPRIL 10MG X 30TAB ALTEFAR,ENALAPRIL 10MG X 30TAB ALTEFAR,T,ENALAPRIL,,"CASA DE REPRESENTACIONES NAUTICA, C.A"
MEDICAMENTOS,TABLETAS,,,ALTEFAR,,7897917005227,,ENALAPRIL 20MG X 30TAB ALTEFAR,ENALAPRIL 20MG X 30TAB ALTEFAR,T,ENALAPRIL,,"CASA DE REPRESENTACIONES NAUTICA, C.A"
MEDICAMENTOS,TABLETAS,,,TEUTO,,7896112144892,,FERRONIL 40MG X 50TAB TEUTO,FERRONIL 40MG X 50TAB TEUTO,T,SULFATO FERROSO,,"CASA DE REPRESENTACIONES NAUTICA, C.A"
MEDICAMENTOS,TABLETAS,,,CIMED,,7896523208770,,FLUCONAZOL 150MG X 2TAB CIMED,FLUCONAZOL 150MG X 2TAB CIMED,T,FLUCONAZOL,,"CASA DE REPRESENTACIONES NAUTICA, C.A"
MEDICAMENTOS,TABLETAS,,,CIMED,,7896523213989,,GLIBENCLAMIDA 5MG X 30TAB CIMED,GLIBENCLAMIDA 5MG X 30COMP (CIMED),T,GLIBENCLAMIDA,165L0FE00V,"CASA DE REPRESENTACIONES NAUTICA, C.A"
MEDICAMENTOS,TABLETAS,,,BRASTERAPICA,,7898100242900,,GRIPALCE X 20 TABLETAS BRASTERAPICA,GRIPALCE X20CAP (BRASTERAPICA),T,PARACETAMOL+CLOFENIRAMIDA+FENILEFRIN,00-548959498,"CASA DE REPRESENTACIONES RJR, C.A"
MEDICAMENTOS,TABLETAS,,,BRASTERAPICA,,7908020502586,,LINOFEME X 21 TABLETAS CIFARMA,LINOFEME 0.15/0.03MG X 21 COMP (CIFARMA),T,LEVONORGESTREL+ETINILESTRADIOL,,"ALFA CASA DE REPRESENTACIÓN FARMACEUTICA, C.A"
MEDICAMENTOS,TABLETAS,,,CIMED,,7896523202822,,LORATAMED 10MG X 12TAB CIMED,LORATAMED LORATANIDA 10MG X12COM (CIMED),T,LORATADINA,,"CASA DE REPRESENTACIONES RJR, C.A"
MEDICAMENTOS,TABLETAS,,,GERMED,,7896004708539,,LOSARTAN POTASICO 50 MG X 30 TAB GERMED,LOSARTAN POTASICO 50 MG X 30 TAB GERMED,T,LOSARTAN POTASICO,298031043,"CASA DE REPRESENTACIONES NAUTICA, C.A"
MEDICAMENTOS,TABLETAS,,,GEOLAB,,7899095237032,,SILDENAFIL 50MG X 2TAB GEOLAB,SILDENAFIL 50MG X 2TAB GEOLAB,T,SILDENAFIL,299031093,"CASA DE REPRESENTACIONES NAUTICA, C.A"
MEDICAMENTOS,SUSPENSION,,,TEUTO,,7896112127512,,SULFAMETOXAZOL+TRIMETOPRIM  SUSP X 100ML TEUTO,SULFAMET+TRIMETOPRIM SUSPX100ML TEUTO,T,SULFAMETOXAZOL+TRIMETOPRIM,20000007,"CASA DE REPRESENTACIONES NAUTICA, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,ADN,,8906112610712,,PRAVANCO (VANCOMICINA) 500MG X 1AMP I.V ADN,PRAVANCO (VANCOMICINA) 500MGX1AMP IV ADN,T,VANCOMICINA,50202020,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,ADN,,8906112610545,,LINEPRA 600 MG / 300 ML  I.V  X 1 AMP ADN,LINEPRA 600 MG / 300 ML  I.V X1 AMP ADN,T,LINEZOLID,,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,TABLETAS,,,ADN,,8906112610491,,PRAFENAC (ACECLOFENACO)100MG X 10TAB ADN,PRAFENAC 100MG X 10 TAB (ADN),T,ACECLOFENACO,21522,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,TABLETAS,,,ADN,,8906112610453,,PRABISO (BISOPROLOL) 5MG X 30TAB ADN,PRABISO 5MG X 30 TAB (ADN),T,BISOPROLOL,21526,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,TABLETAS,,,ADN,,8906112610477,,CARVIHEM (CARVEDILOL) 6.25MG X 30TAB ADN,CARVIHEM (CARVEDILOL) 6.25MG X 30TAB ADN,T,CARVEDILOL,12801004,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,TABLETAS,,,ADN,,8906112610460,,CARVIHEM (CARVEDILOL) 12.5 MG X 20 TAB ADN,CARVIHEM 12.5 MGX20 TAB ADN,T,CARVEDILOL,,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,JARABES,,,LAPROFF,,7703038060987,,ACETAMINOFEN JBE PEDIAT SABOR CEREZA 150MG/5MLX 60ML LAPROFF,ACETAMINOFEN 120MG JBE 60 ML (LAPROFF),T,ACETAMINOFEN,,"CASA DE REPRESENTACIONES NAUTICA, C.A"
MEDICAMENTOS,TABLETAS,,,ADN,,8906112610392,,PRACIPRO (CIPROFLOXACINA) 500MG X 6TAB ADN,PRACIPRO 500MG X 6 TAB (ADN),T,CIPROFLOXACINA,MED018,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,ADN,,8906121570014,,CITICOLINA 500MG/2ML X 1AMP (I.M/I.V) ADN,CITICOLINA 500MG/2MLX1AMP (I.M/I.V) ADN,T,CITICOLINA,,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,TABLETAS,,,ADN,,8906109691236,,LEVOFLOXACINA 500MG X 5TAB  ADN,LEVOFLOXACINA 500 MG X 5 TAB (ADN),T,LEVOFLOXACINA,12601001,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,TABLETAS,,,ADN,,8906109691250,,LEVOFLOXACIN 750MG X 5TAB  ADN,LEVOFLOXACIN 750 MG X 5 TAB (ADN),T,LEVOFLOXACINA,100284,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,TABLETAS,,,ADN,,8906109691267,,ATORVASTATINA 20MG X 30TAB ADN,ATORVASTATINA 20MG X 30TAB ADN,T,ATORVASTATINA,,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,TABLETAS,,,ADN,,8906112610446,,IBUPRA (IBUPROFENO) 600MG X 10TAB ADN,IBUPRA  600MG X 10 TAB (ADN),T,IBUPROFENO,831642,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,ADN,,8906112610705,,LIDOHEM (LIDOCAINA) 20MG/50ML 2% X 1AMP I.M  ADN,LIDOHEM 20MG/50ML 2%X1AMP I.M ADN,T,LIDOCAINA,804042,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,TABLETAS,,,ADN,,8906112610422,,MONTEPRA (MONTELUKAST) 5MG X 10TAB ADN,MONTEPRA 5MG X 10 TAB (ADN),T,MONTELUKAST,,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,TABLETAS,,,ADN,,8906112610439,,MONTEPRA (MONTELUKAST) 10MG X 10TAB ADN,MONTEPRA 10MG X 10 TAB (ADN),T,MONTELUKAST,500031031,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,TABLETAS,,,ADN,,8904187876484,,SUCRALFATO 1000MG X 20TAB ADN,SUCRALFATO 1000MG X 20TAB ADN,T,SUCRALFATO,,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,TABLETAS,,,ADN,,8906112610521,,TAMSUHEM (TAMSULOSINA) 0.4MG X 10TAB ADN,"TAMSUHEM 0,4MG X 10 TAB (ADN)",T,TAMSULOSINA,12801003,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,ADN,,8904159499796,,TRIMEBUTINA 50MG/5ML X 1AMP I.M/I.V ADN (REFRIGERADO),TRIMEBUTINA 50MG/5MLX1AMP I.M/I.V ADN,T,TRIMEBUTINA,12801002,"CASA DE REPRESENTACION ADN MEDICAL, C.A"
MEDICAMENTOS,SUPOSITORIOS ,,,KMPLUS,,6921875011363,,ACETAMINOFEN 100MG X 6SUPOSITORIOS KMPLUS,ACETAMINOFEN 100MG X 6SUPOS KMPLUS,T,ACETAMINOFEN,97589,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,CREMAS,,,KMPLUS,,6942189211331,,CLOTRIMAZOL CREMA 1% X 20GR KMPLUS,CLOTRIMAZOL 1% CREMA 20GR (KMPLUS),T,CLOTRIMAZOL,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,KMPLUS,,6942189211263,,DEXAMETASONA 8MG/2ML I.M/I.V (CAJA X 10 AMP)  KMPLUS,DEXAMETASONA 8MG/2ML I.M/I.V KMPLUS,T,DEXAMETASONA,60100,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,6942189304125,,DEXAMETASONA 0.5 MG X 10 TAB KMPLUS,DEXAMETASONA 0.5MGX 10TAB (KMPLUS),T,DEXAMETASONA,849623,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,JARABES,,,COLMED INTERNATIONAL,,7703153020071,,AMBROXOL 30MG/5ML X 120ML COLMED,AMBROXOL 30MG/5ML JBE 120ML (COLMED),T,AMBROXOL,,"CALOX INTERNATIONAL, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,6942189304149,,DICLOFENAC SODICO 100MG X 10TAB KMPLUS,DICLOFENAC SODICO 100MG X 10TAB KMPLUS,T,DICLOFENAC,2101004,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,6942189304156,,DICLOFENAC SODICO 50MG X 10TAB KMPLUS,DICLOFENAC SODICO 50MG X 10TAB KMPLUS,T,DICLOFENAC,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,8906069872461,,DIOSMINA 600MG X 10TAB KMPLUS,DIOSMINA 600MG X 10 TAB (KMPLUS),T,DIOSMINA,DAC0220,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,KMPLUS,,8906172520068,,ESOMEPRAZOL INY 40MG  IM/IV X 1 AMP KMPLUS,ESOMEPRAZOL INY 40MG  IM/IVX1 AMP KMPLUS,T,ESOMEPRAZOL,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,6921875008530,,ACETAMINOFEN 500 MG X 10 TAB KMPLUS,ACETAMINOFEN 500MG X 10 TAB (KMPLUS),T,ACETAMINOFEN,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,6921875011929,,ESPIRONOLACTONA  25MG X 10TAB KMPLUS,ESPIRONOLACTONA 25MG X 10 TAB (KMPLUS),T,ESPIRONOLACTONA,96269,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,6921875011936,,ESPIRONOLACTONA  25MG X 30TAB KMPLUS,ESPIRONOLACTONA 25MG X 30 TAB (KMPLUS),T,ESPIRONOLACTONA,19482,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,KMPLUS,,6942189211355,,FLUCONAZOL SOL. INY. 200MG X 100ML KMPLUS,FLUCONAZOL SOL. INY. 200MGX100ML KMPLUS,T,FLUCONAZOL,18361,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,KMPLUS,,6921875010915,,GENTAMICINA 80 MG/ 2 ML I.M / I.V X (CAJA10 AMP) KMPLUS,GENTAMICINA 80 MG/ 2 ML I.M / I.VXKMPLUS,T,GENTAMICINA,807814,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,CREMAS,,,KMPLUS,,6942189304293,,GENTAMICINA UNG. OFT. 0.3% X 5 GR  KMPLUS,GENTAMICINA 0.3% UNG. OFT. 5GR (KMPLUS),T,GENTAMICINA,807869,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,6942189304187,,HIDROCLOROTIAZIDA 50 MG X 10 TAB KMPLUS,HIDROCLOROTIAZIDA 50 MG X 10 TAB KMPLUS,T,HIDROCLOROTIAZIDA,3102019,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,CREMAS,,,KMPLUS,,6942189304309,,HIDROCORTISONA CREMA 1% X 15 GR KMPLUS,HIDROCORTISONA CREMA 15G (KMPLUS),T,HIDROCORTISONA,15301001,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,KMPLUS,,8908003460260,,N-BUTILBROMURO DE HIOSCINA INY. 20 MG IM/IV X 10 AMP KMPLUS,N-BUTIL DE HIOSCINA 20MG IM/IVX10 KMPLUS,T,N-BUTILBROMURO DE HIOSCINA,PT-93229,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,8906069872515,,N-BUTILBROMURO DE HIOSCINA 10MG X 10 TAB KMPLUS,N-BUTIL DE HIOSCINA 10MGX10TAB KMPLUS,T,BUSCAPINA,A0040,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,6921875010830,,IBUPROFENO 400 MG X 10 TAB KMPLUS,IBUPROFENO 400MG X 10 TABLETAS (KMPLUS),T,IBUPROFENO,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,6942189304255,,IBUPROFENO 200 MG X 10 TAB KMPLUS,IBUPROFENO 200 MG X 10 TAB KMPLUS,T,IBUPROFENO,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,6942189304224,,ACICLOVIR  400 MG X 10 TAB KMPLUS,ACICLOVIR 400MG  X 10 TAB (KMPLUS),T,ACICLOVIR,151031031,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,6942189304262,,IBUPROFENO 600MG X 10 TAB KMPLUS,IBUPROFENO 600MG X 10 TAB KMPLUS,T,IBUPROFENO,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,6921875010748,,ACICLOVIR 200 MG X 10 TAB KMPLUS,ACICLOVIR 200 MG X 10 TAB KMPLUS,T,ACICLOVIR,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,KMPLUS,,6942189211454,,AMIKACINA 500MG/2ML IM/IV X 1 AMP KMPLUS,AMIKACINA 500MG/ML AMP 2 ML (KMPLUS),T,AMIKACINA,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,6921875011141,,AMPICILINA 500 MG X 10 TAB KMPLUS,AMPICILINA 500MG X 10 CAP (KMPLUS),T,AMPICILINA,PT-93096,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,INHALADORES,,,KMPLUS,,730170649210,,BUDESONIDA INHALADOR 200MCG X 200 DOSIS KMPLUS,BUDESONIDA INHAL 200MCGX200DOSIS KMPLUS,T,BUDESONIDA,A0070,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,KMPLUS,,6942189304378,,CIPROFLOXACINA SOL. INFUSION 200 MG X 100 ML KMPLUS,CIPROFLOXACINA SOL. INFUS 200 MGX100 ML,T,CIPROFLOXACINA,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,KMPLUS,,6937861391395,,CLINDAMICINA 600 ML /4ML IM/IV X 1 AMP KMPLUS,CLINDAMICINA 600ML/4ML IM/IVX1AMP KMPLUS,T,CLINDAMICINA,13557688,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,TABLETAS,,,KMPLUS,,6942189304279,,IBUPROFENO 800 MG X 10 TAB KMPLUS,IBUPROFENO 800 MG X 10 TAB KMPLUS,T,IBUPROFENO,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,KMPLUS,,6037096019856,,METRONIDAZOL SOL. INFUSION 500MG X 100 ML KMPLUS,METRONIDAZOL SOL. INFUSION 500MGX100 ML,T,METRONIDAZOL,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,SUSPENSION,,,KMPLUS,,6942189304316,,METRONIDAZOL SUSP PEDRIATICO 125MG/5ML X 100ML KMPLUS,METRONIDAZOL 125MG/5M SUSP.100ML(KMPLUS),T,METRONIDAZOL,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
MEDICAMENTOS,AMPOLLAS Y SOLUCIONES,,,KMPLUS,,6942189304507,,MOXIFLOXACINA SOL. INFUSION 400MG ( I.V )  X 250 ML KMPLUS,MOXIFLOXACINA SOL. INF. 400MG/250ML (KM),T,MOXIFLOXACINA,,"CASA DE REPRESENTACION MARQUEZ Y KOTEICH, C.A"
